class,x,y,name,prediction,dist
0,0.00090003,0.602762,item-1,0.0,1.004907525903613
0,0.00183046,0.519435,item-2,0.0,1.0163653936286159
0,0.00241566,0.73422,item-3,0.0,0.9977875539487729
1,0.00255716,0.357847,item-4,1.0,1.0581295715365417
0,0.00354946,0.90909,item-5,0.0,1.0158465644571189
0,0.00574744,0.804348,item-6,0.0,0.9985431583147087
0,0.00593913,0.689691,item-7,0.0,0.994231904128145
0,0.00629783,0.0751743,item-8,0.0,1.1797753309747239
0,0.00635004,0.480862,item-9,0.0,1.0199411745649656
1,0.00736451,0.40563,item-10,1.0,1.038549438614638
0,0.00942659,0.801707,item-11,0.0,0.9946363528552473
0,0.0102581,0.69826,item-12,0.0,0.9897647005223059
1,0.0103316,0.295608,item-13,1.0,1.073336311034412
0,0.011506,0.0259697,item-14,0.0,1.2027303564339307
0,0.0116241,0.543177,item-15,0.0,1.0024976161838042
1,0.0120126,0.352302,item-16,1.0,1.0511022097594314
1,0.013842,0.132582,item-17,1.0,1.1433296231498595
0,0.0152121,0.0261629,item-18,0.0,1.1995761117788317
0,0.0175378,0.527014,item-19,0.0,0.9995201497538906
1,0.017891,0.372972,item-20,1.0,1.0386651595894607
0,0.0189327,0.0869353,item-21,0.0,1.1627973989567486
0,0.019501,0.963281,item-22,0.0,1.0123208360959484
1,0.0200887,0.229847,item-23,1.0,1.0917054386928233
1,0.0206536,0.364899,item-24,1.0,1.0387171898897023
1,0.0219018,0.289501,item-25,1.0,1.0650813817429352
0,0.0229808,0.48474,item-26,0.0,1.0028642725752275
0,0.0234493,0.73275,item-27,0.0,0.9767261102190777
1,0.0239344,0.374872,item-28,1.0,1.0323324627022827
0,0.0248984,0.437679,item-29,1.0,1.0126819401654006
0,0.025564,0.641973,item-30,0.0,0.9768312469024524
1,0.026436,0.153355,item-31,1.0,1.1220138320560045
1,0.0288874,0.208085,item-32,1.0,1.0936544568195934
0,0.0316627,0.576524,item-33,0.0,0.9775985840078175
0,0.0318195,0.54579,item-34,0.0,0.9821502896798687
0,0.0323533,0.0018208,item-35,0.0,1.199775687975519
0,0.0328127,0.571657,item-36,0.0,0.9771428044974234
0,0.0328591,0.569243,item-37,0.0,0.9774445925750522
0,0.0337098,0.100309,item-38,0.0,1.1431554124983356
0,0.0360746,0.475829,item-39,0.0,0.9921893436378764
0,0.0368234,0.784376,item-40,0.0,0.9658892888593185
1,0.0383854,0.428619,item-41,1.0,1.0022197697989
1,0.0426732,0.295536,item-42,1.0,1.0436214638071795
0,0.0441679,0.915799,item-43,0.0,0.9774204253764139
0,0.0442348,0.981219,item-44,0.0,0.9931113867533893
0,0.0451503,0.811084,item-45,0.0,0.9599964424388718
