class,x,y,name,prediction,dist
0,0.00090003,0.602762,item-1,,0.8958834315644312
0,0.858974,0.330686,item-867,,0.6112048016180828
0,0.862743,0.0053829,item-870,,0.9363982071772724
1,0.424824,0.111023,item-415,,0.9239660972275986
1,0.418178,0.810591,item-407,,0.4324145773236606
1,0.999938,0.711216,item-1000,,0.2857439823285873
0,0.0248984,0.437679,item-29,0.0,0.9499319236331413
1,0.0670819,0.169476,item-67,1.0,1.0854628586121269
0,0.100439,0.515192,item-104,0.0,0.8451796042262261
0,0.213601,0.121795,item-213,0.0,1.0256159345841893
0,0.41177,0.00376618,item-401,0.0,1.026676814588151
1,0.447704,0.056232,item-438,1.0,0.9641862420326273
0,0.476845,0.897766,item-468,0.0,0.3562046937815391
1,0.616189,0.728199,item-618,1.0,0.30209342682190227
1,0.840027,0.449015,item-843,1.0,0.492301352723106
0,0.882739,0.788989,item-881,0.0,0.1609826350542194
1,0.897224,0.998202,item-889,1.0,0.0878273170773194
0,0.953731,0.52881,item-955,0.0,0.4304612720187496
