class,x,y,name,prediction
1,0.670565,0.910904,item-668,
1,0.671371,0.950062,item-669,
1,0.672285,0.290787,item-670,
1,0.673684,0.337749,item-671,
1,0.67454,0.953979,item-672,
0,0.677006,0.104648,item-673,
1,0.677362,0.921785,item-674,
0,0.678328,0.265179,item-675,
0,0.679383,0.0753919,item-676,
0,0.681961,0.635327,item-677,
1,0.684453,0.423136,item-678,
1,0.686216,0.950891,item-679,
1,0.687331,0.992002,item-680,
0,0.687546,0.277812,item-681,
1,0.687688,0.451995,item-682,
1,0.689246,0.483547,item-683,
1,0.689476,0.842278,item-684,
1,0.689502,0.485739,item-685,
0,0.68974,0.0174074,item-686,
1,0.693127,0.479629,item-687,
1,0.698285,0.304603,item-688,
1,0.698296,0.428999,item-689,
1,0.698458,0.566406,item-690,
1,0.699426,0.344776,item-691,
0,0.699658,0.177274,item-692,
0,0.70348,0.115474,item-693,
0,0.704152,0.0701993,item-694,
0,0.704771,0.0119532,item-695,
1,0.706111,0.470417,item-696,
0,0.707824,0.189193,item-697,
1,0.707851,0.503283,item-698,
0,0.708184,0.142518,item-699,
0,0.70933,0.256131,item-700,
1,0.711088,0.829092,item-701,
1,0.71158,0.813823,item-702,
0,0.713894,0.129154,item-703,
1,0.71436,0.922462,item-704,
1,0.715007,0.380013,item-705,
0,0.716196,0.144724,item-706,
1,0.718023,0.434825,item-707,
1,0.719472,0.600323,item-708,
1,0.719822,0.525372,item-709,
1,0.720335,0.599246,item-710,
1,0.72038,0.827324,item-711,
0,0.720387,0.251311,item-712,
0,0.72069,0.320241,item-713,
0,0.721118,0.640884,item-714,
0,0.721601,0.122898,item-715,
0,0.722094,0.000484705,item-716,
1,0.723326,0.540054,item-717,
1,0.72343,0.950373,item-718,
1,0.725126,0.400644,item-719,
0,0.725553,0.0360086,item-720,
0,0.726775,0.0148818,item-721,
1,0.727522,0.340442,item-722,
1,0.729671,0.356139,item-723,
0,0.730652,0.26099,item-724,
1,0.731312,0.951644,item-725,
1,0.731721,0.399081,item-726,
1,0.732091,0.949074,item-727,
1,0.733953,0.892897,item-728,
0,0.735285,0.0171025,item-729,
1,0.735353,0.345823,item-730,
0,0.736425,0.701391,item-731,
0,0.737015,0.689344,item-732,
0,0.738185,0.170848,item-733,
0,0.73939,0.740104,item-734,
0,0.742602,0.799513,item-735,
1,0.745023,0.544558,item-736,
1,0.747045,0.608989,item-737,
0,0.749578,0.157369,item-738,
0,0.750238,0.270617,item-739,
1,0.75068,0.426635,item-740,
0,0.750892,0.239189,item-741,
0,0.75101,0.814295,item-742,
1,0.751332,0.880799,item-743,
0,0.752077,0.84836,item-744,
1,0.753516,0.907462,item-745,
1,0.753632,0.387383,item-746,
0,0.754565,0.659067,item-747,
0,0.755009,0.669674,item-748,
1,0.755937,0.87294,item-749,
0,0.757322,0.195681,item-750,
0,0.757467,0.813037,item-751,
0,0.759106,0.674566,item-752,
1,0.759627,0.440483,item-753,
0,0.759744,0.291327,item-754,
0,0.760003,0.16092,item-755,
0,0.761208,0.665642,item-756,
0,0.761289,0.725944,item-757,
1,0.761468,0.543922,item-758,
1,0.761991,0.533592,item-759,
1,0.76369,0.42022,item-760,
1,0.764417,0.91004,item-761,
0,0.764738,0.735204,item-762,
1,0.764944,0.63249,item-763,
0,0.767375,0.0250311,item-764,
0,0.768105,0.766053,item-765,
1,0.768363,0.868924,item-766,
1,0.769875,0.976578,item-767,
1,0.770783,0.960829,item-768,
0,0.771407,0.821858,item-769,
0,0.771901,0.834857,item-770,
0,0.772059,0.0878912,item-771,
0,0.772864,0.281633,item-772,
0,0.773214,0.0618805,item-773,
1,0.776024,0.999002,item-774,
1,0.777037,0.381795,item-775,
0,0.777709,0.276408,item-776,
1,0.777818,0.624105,item-777,
1,0.778111,0.895854,item-778,
0,0.779041,0.699245,item-779,
1,0.779359,0.595263,item-780,
0,0.779632,0.344935,item-781,
0,0.779938,0.120498,item-782,
1,0.783211,0.964858,item-783,
1,0.783538,0.991888,item-784,
1,0.784684,0.477248,item-785,
1,0.785001,0.938462,item-786,
0,0.785266,0.0077976,item-787,
0,0.786546,0.159106,item-788,
1,0.790209,0.545662,item-789,
0,0.79042,0.743011,item-790,
1,0.790492,0.933808,item-791,
0,0.792469,0.814652,item-792,
0,0.792535,0.114866,item-793,
1,0.793094,0.466171,item-794,
0,0.793987,0.374501,item-795,
0,0.79415,0.155195,item-796,
0,0.796041,0.30824,item-797,
0,0.798065,0.726266,item-798,
0,0.798278,0.0272385,item-799,
0,0.799055,0.00870895,item-800,
0,0.799276,0.213648,item-801,
1,0.800241,0.682166,item-802,
0,0.800499,0.371992,item-803,
1,0.8005,0.42575,item-804,
1,0.801041,0.937795,item-805,
0,0.804462,0.0109613,item-806,
0,0.804588,0.195132,item-807,
1,0.804727,0.906934,item-808,
0,0.805966,0.298014,item-809,
1,0.806026,0.447683,item-810,
0,0.806352,0.904428,item-811,
0,0.806651,0.0995735,item-812,
0,0.806716,0.267663,item-813,
0,0.809268,0.0584488,item-814,
0,0.81053,0.0121728,item-815,
0,0.811456,0.291323,item-816,
1,0.812132,0.576428,item-817,
0,0.81232,0.157776,item-818,
0,0.813059,0.884848,item-819,
0,0.813278,0.745591,item-820,
1,0.81376,0.475009,item-821,
0,0.814258,0.254027,item-822,
0,0.814872,0.873586,item-823,
1,0.816921,0.59942,item-824,
0,0.817491,0.150645,item-825,
1,0.817876,0.432884,item-826,
0,0.820098,0.832347,item-827,
1,0.820249,0.926537,item-828,
