class,x,y,name,prediction,dist
0,0.00090003,0.602762,item-1,,0.5197394232272369
0,0.844197,0.306539,item-847,,0.5354935883360323
0,0.845279,0.349535,item-848,,0.5035690243700461
1,0.554882,0.69664,item-561,,0.05458077464638989
1,0.579626,0.818683,item-589,,0.1208620466896039
1,0.999938,0.711216,item-1000,,0.49335543552392325
0,0.0248984,0.437679,item-29,0.0,0.5595948210294303
1,0.0670819,0.169476,item-67,1.0,0.7063145056913458
0,0.100439,0.515192,item-104,0.0,0.4560106957517554
0,0.213601,0.121795,item-213,0.0,0.668215966762992
0,0.521524,0.940202,item-517,0.0,0.21840917637544435
1,0.522032,0.122831,item-519,1.0,0.5996608556926156
1,0.616189,0.728199,item-618,1.0,0.10964102212675689
1,0.672285,0.290787,item-670,1.0,0.46218620832409096
1,0.698285,0.304603,item-688,1.0,0.4595319056746768
0,0.72069,0.320241,item-713,0.0,0.4554524643845942
1,0.804727,0.906934,item-808,1.0,0.35058110537220905
1,0.840027,0.449015,item-843,1.0,0.4310275250619153
0,0.882739,0.788989,item-881,0.0,0.3819005384560226
1,0.897224,0.998202,item-889,1.0,0.4781502359353177
0,0.953731,0.52881,item-955,0.0,0.4871009020439194
