class,x,y,name,prediction
0,0.830418,0.0959848,item-834,
1,0.832025,0.652103,item-835,
0,0.832425,0.337651,item-836,
1,0.832435,0.644003,item-837,
1,0.833394,0.590128,item-838,
1,0.835101,0.972474,item-839,
1,0.835404,0.94027,item-840,
1,0.836452,0.54233,item-841,
0,0.837934,0.422757,item-842,
1,0.840027,0.449015,item-843,
1,0.840861,0.682911,item-844,
0,0.842881,0.19318,item-845,
1,0.843047,0.555102,item-846,
0,0.844197,0.306539,item-847,
0,0.845279,0.349535,item-848,
1,0.845429,0.691947,item-849,
0,0.845684,0.196506,item-850,
0,0.846221,0.15764,item-851,
1,0.846539,0.682361,item-852,
1,0.847767,0.720969,item-853,
1,0.849359,0.594868,item-854,
1,0.849563,0.525005,item-855,
0,0.849912,0.16645,item-856,
0,0.850019,0.254251,item-857,
1,0.850878,0.535243,item-858,
0,0.854411,0.434397,item-859,
1,0.856353,0.662514,item-860,
0,0.856886,0.395959,item-861,
1,0.857001,0.52118,item-862,
0,0.857211,0.106725,item-863,
1,0.857351,0.747747,item-864,
0,0.85839,0.176484,item-865,
0,0.858398,0.830757,item-866,
0,0.858974,0.330686,item-867,
1,0.859789,0.749747,item-868,
1,0.862114,0.558745,item-869,
0,0.862743,0.0053829,item-870,
0,0.862767,0.0277292,item-871,
1,0.863303,0.616383,item-872,
1,0.864962,0.758718,item-873,
1,0.866857,0.705417,item-874,
1,0.868923,0.69936,item-875,
0,0.871059,0.35294,item-876,
0,0.875093,0.226478,item-877,
1,0.87561,0.607486,item-878,
0,0.879853,0.835117,item-879,
0,0.881815,0.00925112,item-880,
0,0.882739,0.788989,item-881,
0,0.883398,0.965515,item-882,
0,0.884552,0.253295,item-883,
0,0.886862,0.98643,item-884,
0,0.887475,0.200886,item-885,
0,0.889014,0.241068,item-886,
1,0.889351,0.788839,item-887,
0,0.892061,0.330548,item-888,
1,0.897224,0.998202,item-889,
0,0.897794,0.00417101,item-890,
0,0.897944,0.445547,item-891,
0,0.898477,0.144951,item-892,
1,0.90032,0.727085,item-893,
1,0.901241,0.743365,item-894,
0,0.901399,0.322293,item-895,
1,0.901884,0.695662,item-896,
1,0.903343,0.707323,item-897,
1,0.903364,0.72097,item-898,
0,0.903692,0.968843,item-899,
0,0.906476,0.140754,item-900,
0,0.907524,0.349414,item-901,
0,0.909116,0.438852,item-902,
0,0.912577,0.236256,item-903,
0,0.91416,0.0607717,item-904,
0,0.915894,0.0241671,item-905,
0,0.916317,0.380048,item-906,
0,0.916863,0.0256784,item-907,
1,0.918055,0.6796,item-908,
0,0.918306,0.172342,item-909,
1,0.918468,0.577763,item-910,
0,0.919432,0.211361,item-911,
0,0.921094,0.207251,item-912,
0,0.921731,0.0100056,item-913,
0,0.924865,0.841486,item-914,
1,0.925967,0.787419,item-915,
0,0.926513,0.237951,item-916,
0,0.926638,0.432529,item-917,
1,0.927055,0.787792,item-918,
0,0.929512,0.0185107,item-919,
0,0.9302,0.0996422,item-920,
1,0.93028,0.557513,item-921,
1,0.930286,0.540444,item-922,
1,0.931593,0.687533,item-923,
1,0.932377,0.63345,item-924,
1,0.932617,0.535545,item-925,
0,0.932677,0.311303,item-926,
1,0.935584,0.618984,item-927,
0,0.935949,0.30061,item-928,
0,0.936577,0.346115,item-929,
0,0.936675,0.209887,item-930,
1,0.936697,0.605782,item-931,
1,0.93842,0.825709,item-932,
0,0.938606,0.891831,item-933,
0,0.939341,0.0144302,item-934,
0,0.940149,0.346231,item-935,
0,0.940521,0.113131,item-936,
1,0.940819,0.776741,item-937,
0,0.941314,0.852559,item-938,
0,0.941469,0.204275,item-939,
1,0.941957,0.646518,item-940,
1,0.942168,0.701775,item-941,
0,0.942231,0.902717,item-942,
1,0.943158,0.688882,item-943,
1,0.943864,0.774184,item-944,
1,0.944904,0.722564,item-945,
0,0.945083,0.923046,item-946,
0,0.945966,0.910349,item-947,
1,0.945995,0.789897,item-948,
0,0.946087,0.237045,item-949,
0,0.948713,0.228576,item-950,
1,0.948789,0.610633,item-951,
1,0.948858,0.847526,item-952,
0,0.950234,0.946175,item-953,
0,0.953492,0.942869,item-954,
0,0.953731,0.52881,item-955,
0,0.953821,0.0433476,item-956,
1,0.955643,0.670485,item-957,
0,0.956345,0.157678,item-958,
0,0.956572,0.948688,item-959,
0,0.956781,0.0844526,item-960,
1,0.958236,0.838258,item-961,
0,0.958441,0.210912,item-962,
0,0.959649,0.948329,item-963,
1,0.960124,0.819268,item-964,
1,0.961499,0.81752,item-965,
0,0.961976,0.0563426,item-966,
1,0.963356,0.681544,item-967,
0,0.964612,0.488219,item-968,
1,0.965014,0.704172,item-969,
1,0.966764,0.756902,item-970,
1,0.96842,0.85735,item-971,
0,0.968546,0.303046,item-972,
1,0.96856,0.645374,item-973,
1,0.96923,0.592733,item-974,
0,0.971276,0.925094,item-975,
0,0.974725,0.189193,item-976,
1,0.975637,0.725613,item-977,
1,0.978085,0.692462,item-978,
1,0.979488,0.606025,item-979,
0,0.98136,0.505608,item-980,
1,0.981955,0.757558,item-981,
0,0.983575,0.0269424,item-982,
1,0.984483,0.737738,item-983,
1,0.985754,0.68581,item-984,
1,0.987477,0.7542,item-985,
0,0.987727,0.275982,item-986,
1,0.988911,0.740774,item-987,
0,0.990386,0.16455,item-988,
1,0.990475,0.700867,item-989,
0,0.991423,0.0356038,item-990,
0,0.991523,0.562893,item-991,
0,0.992545,0.419883,item-992,
0,0.99499,0.551941,item-993,
0,0.995987,0.442589,item-994,
0,0.996361,0.967861,item-995,
1,0.996364,0.735779,item-996,
0,0.998093,0.147916,item-997,
0,0.999411,0.584531,item-998,
0,0.999541,0.0355989,item-999,
1,0.999938,0.711216,item-1000,
