class,x,y,name,prediction,dist
1,0.168695,0.0348476,item-168,1.0,0.6966724112140225
1,0.168994,0.499107,item-169,1.0,0.23241338675945492
0,0.171119,0.151981,item-170,0.0,0.5795446056361839
0,0.173794,0.246008,item-171,0.0,0.4855401037195588
0,0.174564,0.15321,item-172,0.0,0.5783410621216514
0,0.176279,0.710387,item-173,0.0,0.02249516325790942
1,0.176521,0.354046,item-174,1.0,0.37755772946266103
0,0.176713,0.20937,item-175,0.0,0.5222134917339841
1,0.178429,0.0498406,item-176,1.0,0.6817506906966504
1,0.178777,0.549138,item-177,1.0,0.18266739384192235
0,0.179884,0.12628,item-178,0.0,0.6053457393886571
1,0.180106,0.518892,item-179,1.0,0.2129407093066048
0,0.18199,0.252736,item-180,0.0,0.4789720399522293
0,0.182337,0.632104,item-181,0.0,0.10036469172472952
0,0.18261,0.686284,item-182,0.0,0.04736472628444077
0,0.186056,0.136542,item-183,0.0,0.5952348953816468
0,0.186665,0.843127,item-184,0.0,0.11306436871976955
1,0.189627,0.0716101,item-185,1.0,0.6602457673980272
0,0.194282,0.749371,item-186,0.0,0.031301200376343444
0,0.19645,0.624517,item-187,0.0,0.11057547833493642
0,0.197642,0.213623,item-188,0.0,0.5187123324088218
1,0.198203,0.473346,item-189,1.0,0.25986906119236275
0,0.201006,0.182016,item-190,0.0,0.5504604800637372
0,0.201781,0.168123,item-191,0.0,0.5643750084208193
1,0.202181,0.344154,item-192,1.0,0.3888214465239796
0,0.202606,0.715441,item-193,0.0,0.037642841776359015
1,0.204234,0.489816,item-194,1.0,0.24432098663847931
1,0.204442,0.353628,item-195,1.0,0.37959078498825544
0,0.204533,0.24741,item-196,0.0,0.48544395090370623
0,0.204635,0.968351,item-197,0.0,0.23956127981374623
1,0.20476,0.318968,item-198,1.0,0.4141362925463065
1,0.205774,0.407013,item-199,1.0,0.3266327152399158
1,0.206401,0.413436,item-200,1.0,0.3203257960530184
0,0.206467,0.155183,item-201,0.0,0.5775816134348462
0,0.207264,0.85031,item-202,0.0,0.12493314106353051
1,0.208293,0.528663,item-203,1.0,0.206709649455462
0,0.208715,0.904161,item-204,0.0,0.17724710408353647
0,0.209384,0.934617,item-205,0.0,0.20715736531680456
1,0.210684,0.508477,item-206,1.0,0.22698407178698685
0,0.210814,0.669881,item-207,0.0,0.07472564390488716
0,0.210856,0.934957,item-208,0.0,0.2077852708085923
0,0.211547,0.719573,item-209,0.0,0.044606651275342336
0,0.213182,0.227894,item-210,0.0,0.505598040364082
1,0.213201,0.0868551,item-211,1.0,0.6462079846713518
0,0.213507,0.161138,item-212,0.0,0.5721494209496326
