class,x,y,name,prediction,dist
0,0.00090003,0.602762,item-1,,1.004907525903613
0,0.70933,0.256131,item-700,,0.5399586714638445
0,0.713894,0.129154,item-703,,0.648550184473029
1,0.424824,0.111023,item-415,,0.8312567294434373
1,0.418178,0.810591,item-407,,0.590186485972866
1,0.830389,0.941222,item-833,,0.2857439823285873
0,0.0248984,0.437679,item-29,0.0,1.0126819401654006
1,0.0670819,0.169476,item-67,1.0,1.0787505415559289
0,0.100439,0.515192,item-104,0.0,0.9206105906283069
0,0.213601,0.121795,item-213,0.0,0.9827222358377773
0,0.41177,0.00376618,item-401,0.0,0.9200145890376046
1,0.447704,0.056232,item-438,1.0,0.8567184082369189
0,0.476845,0.897766,item-468,0.0,0.5553622143691449
1,0.616189,0.728199,item-618,1.0,0.38412461166918216
1,0.672285,0.290787,item-670,1.0,0.533026296208733
1,0.698285,0.304603,item-688,1.0,0.5062891112575896
0,0.72069,0.320241,item-713,0.0,0.48045904729643707
1,0.804727,0.906934,item-808,1.0,0.27642877933565463
