class,x,y,name,prediction
1,0.507334,0.705331,item-501,
1,0.50978,0.823042,item-502,
1,0.510711,0.321885,item-503,
0,0.511492,0.027169,item-504,
1,0.511843,0.166448,item-505,
1,0.515353,0.412356,item-506,
1,0.51541,0.879032,item-507,
1,0.516521,0.68877,item-508,
1,0.516593,0.823871,item-509,
0,0.51669,0.515547,item-510,
1,0.518476,0.279168,item-511,
0,0.519709,0.0804659,item-512,
0,0.519888,0.616282,item-513,
1,0.520536,0.861316,item-514,
1,0.521241,0.85855,item-515,
0,0.521327,0.468485,item-516,
0,0.521524,0.940202,item-517,
1,0.521662,0.209307,item-518,
1,0.522032,0.122831,item-519,
1,0.522275,0.32234,item-520,
1,0.523543,0.263693,item-521,
0,0.523778,0.542121,item-522,
1,0.523916,0.680485,item-523,
1,0.525233,0.84944,item-524,
1,0.526012,0.220217,item-525,
0,0.530869,0.620112,item-526,
1,0.532761,0.918323,item-527,
1,0.533314,0.251048,item-528,
1,0.533601,0.431427,item-529,
0,0.533912,0.0318134,item-530,
1,0.534046,0.667407,item-531,
1,0.535191,0.904272,item-532,
0,0.535793,0.604939,item-533,
0,0.53654,0.492965,item-534,
1,0.537298,0.400751,item-535,
0,0.539333,0.999847,item-536,
0,0.53951,0.585328,item-537,
1,0.541214,0.719744,item-538,
0,0.542671,0.494549,item-539,
1,0.545512,0.224432,item-540,
1,0.545673,0.724451,item-541,
1,0.545693,0.195445,item-542,
0,0.546368,0.550722,item-543,
0,0.546634,0.997374,item-544,
0,0.548399,0.574906,item-545,
1,0.548419,0.78912,item-546,
1,0.54846,0.173786,item-547,
0,0.549552,0.0928911,item-548,
0,0.549585,0.594572,item-549,
1,0.5504,0.919664,item-550,
0,0.550432,0.57671,item-551,
0,0.550443,0.61045,item-552,
0,0.550644,0.0290376,item-553,
0,0.551033,0.982606,item-554,
1,0.551924,0.309714,item-555,
1,0.552462,0.70554,item-556,
1,0.553535,0.351856,item-557,
0,0.553817,0.569286,item-558,
0,0.553888,0.000969887,item-559,
0,0.554342,0.0321629,item-560,
1,0.554882,0.69664,item-561,
0,0.555279,0.0280907,item-562,
1,0.555574,0.851988,item-563,
0,0.555753,0.631564,item-564,
1,0.555954,0.371726,item-565,
0,0.557179,0.650011,item-566,
1,0.55829,0.766468,item-567,
0,0.558906,0.463859,item-568,
1,0.559262,0.254183,item-569,
1,0.560166,0.395705,item-570,
1,0.560207,0.839366,item-571,
1,0.560507,0.872573,item-572,
0,0.561252,0.147851,item-573,
1,0.561948,0.794359,item-574,
1,0.566034,0.429185,item-575,
0,0.56691,0.115437,item-576,
0,0.570495,0.509027,item-577,
0,0.570668,0.586901,item-578,
0,0.572277,0.0426484,item-579,
0,0.572604,0.00857437,item-580,
1,0.572764,0.337172,item-581,
0,0.572945,0.0457506,item-582,
0,0.573013,0.0420959,item-583,
1,0.573884,0.926106,item-584,
1,0.574823,0.375433,item-585,
1,0.577359,0.37598,item-586,
0,0.578525,0.167367,item-587,
1,0.579006,0.231235,item-588,
1,0.579626,0.818683,item-589,
1,0.58083,0.810926,item-590,
1,0.58447,0.344039,item-591,
0,0.584715,0.551061,item-592,
1,0.584785,0.971825,item-593,
1,0.58562,0.368936,item-594,
1,0.587821,0.901872,item-595,
1,0.588568,0.249862,item-596,
1,0.591496,0.871964,item-597,
1,0.592147,0.747748,item-598,
0,0.592482,0.620203,item-599,
1,0.593771,0.402294,item-600,
1,0.594193,0.73165,item-601,
1,0.59576,0.841411,item-602,
1,0.59722,0.426403,item-603,
1,0.59766,0.209873,item-604,
0,0.598264,0.682557,item-605,
0,0.59856,0.528844,item-606,
1,0.600041,0.4859,item-607,
1,0.604889,0.40099,item-608,
1,0.605845,0.279142,item-609,
0,0.607315,0.175627,item-610,
0,0.607831,0.170851,item-611,
1,0.609106,0.875199,item-612,
1,0.609891,0.298064,item-613,
1,0.610108,0.386477,item-614,
0,0.610197,0.19772,item-615,
1,0.610587,0.47132,item-616,
