class,x,y,name,prediction,dist
0,0.206467,0.155183,item-201,0.0,0.2582530084335903
0,0.207264,0.85031,item-202,0.0,0.4368748523833799
1,0.208293,0.528663,item-203,1.0,0.11524253204871886
0,0.208715,0.904161,item-204,0.0,0.49073045577078256
0,0.209384,0.934617,item-205,0.0,0.5211895365891376
1,0.210684,0.508477,item-206,1.0,0.09513745723951207
0,0.210814,0.669881,item-207,0.0,0.2564829674539812
0,0.210856,0.934957,item-208,0.0,0.5215400276738115
0,0.211547,0.719573,item-209,0.0,0.3061802477054978
0,0.213182,0.227894,item-210,0.0,0.1856658711906957
1,0.213201,0.0868551,item-211,1.0,0.32665168642578596
0,0.213507,0.161138,item-212,0.0,0.25239805078486643
0,0.213601,0.121795,item-213,1.0,0.29172986285431945
1,0.214091,0.54818,item-214,1.0,0.13496326031924388
1,0.215984,0.0309597,item-215,1.0,0.38259633290282596
1,0.217072,0.607228,item-216,1.0,0.19408557263485607
0,0.217313,0.880437,item-217,0.0,0.4671284681380487
1,0.217797,0.0912132,item-218,1.0,0.3224242572385645
0,0.217987,0.843992,item-219,0.0,0.4307118578957398
0,0.218765,0.297323,item-220,0.0,0.11676941922010234
1,0.219888,0.0867541,item-221,1.0,0.3269601855832144
0,0.222245,0.756012,item-222,0.0,0.34294219354287686
0,0.223397,0.829337,item-223,0.0,0.41624813010631045
1,0.225,0.566288,item-224,1.0,0.15397940350904077
1,0.226925,0.0940439,item-225,1.0,0.32005085239444375
1,0.228013,0.432283,item-226,1.0,0.028675563691059287
0,0.229384,0.86725,item-227,0.0,0.45439560394550466
0,0.229976,0.319706,item-228,0.0,0.09664933277058878
0,0.230793,0.654216,item-229,1.0,0.24201235105671776
0,0.232118,0.16755,item-230,0.0,0.24722720134524034
1,0.233336,0.559819,item-231,1.0,0.1488404411240439
0,0.233914,0.145966,item-232,0.0,0.2688813233919381
1,0.234693,0.392601,item-233,1.0,0.03513594297866506
0,0.236143,0.196242,item-234,0.0,0.21922093923710848
1,0.236949,0.468838,item-235,1.0,0.06326580362249415
0,0.237151,0.239323,item-236,0.0,0.17680752039718223
1,0.237305,0.437874,item-237,1.0,0.03939889668505956
1,0.23759,0.367581,item-238,1.0,0.055456602366174605
0,0.238636,0.796576,item-239,0.0,0.38449363431011435
1,0.239528,0.536385,item-240,1.0,0.12733363550138663
0,0.240914,0.882009,item-241,0.0,0.46984231769605433
0,0.241144,0.334399,item-242,1.0,0.0863361072668904
1,0.244194,0.0452957,item-243,1.0,0.37007511579825253
0,0.244863,0.73671,item-244,0.0,0.3255539963201189
1,0.24611,0.359928,item-245,1.0,0.0666326552450073
0,0.247907,0.700733,item-246,0.0,0.290279717247003
1,0.249228,0.0294142,item-247,1.0,0.38640250362056405
0,0.250194,0.961793,item-248,0.0,0.550102923367982
1,0.250708,0.437564,item-249,1.0,0.05045067524820652
1,0.252098,0.493085,item-250,1.0,0.09182689698557822
0,0.252867,0.748279,item-251,0.0,0.3380516584858001
1,0.254478,0.0105379,item-252,1.0,0.4057564255962067
1,0.254792,0.442938,item-253,1.0,0.05667501111601127
0,0.256517,0.998212,item-254,0.0,0.5869195716893414
