class,x,y,name,prediction,dist
0,0.00090003,0.602762,item-1,,0.9949625029869232
0,0.875093,0.226478,item-877,,0.23066238657809493
0,0.314132,0.743065,item-312,,0.8800165476288513
1,0.403019,0.704828,item-390,,0.8008909070959055
1,0.4221,0.566037,item-411,,0.6728369990880424
1,0.999938,0.711216,item-1000,,0.7306641738779194
0,0.0248984,0.437679,item-29,0.0,0.8850614357888171
1,0.0670819,0.169476,item-67,1.0,0.749420218228273
0,0.0774742,0.491868,item-80,0.0,0.8684017034331187
0,0.078415,0.148516,item-82,0.0,0.734076304500903
0,0.09102,0.17427,item-93,0.0,0.7271341158975436
0,0.100439,0.515192,item-104,0.0,0.8628959354367722
0,0.126948,0.209777,item-130,0.0,0.7015384381342212
0,0.19645,0.624517,item-187,0.0,0.8615987119708353
0,0.213601,0.121795,item-213,0.0,0.5962758093538614
0,0.218765,0.297323,item-220,0.0,0.6481007282493999
0,0.241144,0.334399,item-242,0.0,0.6460175636853865
0,0.270691,0.206385,item-275,0.0,0.5641314893175193
0,0.300828,0.230991,item-301,0.0,0.5455634273677099
0,0.41177,0.00376618,item-401,0.0,0.3873165400551245
0,0.435806,0.365706,item-429,0.0,0.5093100526297341
1,0.447704,0.056232,item-438,1.0,0.35455037086752916
0,0.46393,0.526491,item-450,0.0,0.6167714462644995
0,0.476845,0.897766,item-468,0.0,0.9456435492587587
0,0.519709,0.0804659,item-512,0.0,0.2884150613080088
0,0.521524,0.940202,item-517,0.0,0.9719582080312417
0,0.557179,0.650011,item-566,0.0,0.6853993862779587
0,0.558906,0.463859,item-568,0.0,0.5146193838323645
0,0.561252,0.147851,item-573,0.0,0.2755191043960518
0,0.578525,0.167367,item-587,0.0,0.27167233523088524
1,0.584785,0.971825,item-593,1.0,0.9866631434626524
1,0.804727,0.906934,item-808,1.0,0.8982429582420908
0,0.806352,0.904428,item-811,0.0,0.895748772112975
0,0.813278,0.745591,item-820,0.0,0.7370193005215009
0,0.837934,0.422757,item-842,0.0,0.41586940780706927
1,0.840027,0.449015,item-843,1.0,0.44220823426368094
0,0.854411,0.434397,item-859,0.0,0.42927217781822585
0,0.882739,0.788989,item-881,0.0,0.7847547185484153
0,0.886862,0.98643,item-884,0.0,0.9816560094361478
1,0.897224,0.998202,item-889,1.0,0.9943508679330966
0,0.924865,0.841486,item-914,0.0,0.8422266744212643
0,0.941314,0.852559,item-938,0.0,0.8557572844948516
0,0.953731,0.52881,item-955,0.0,0.5426138287835119
0,0.999411,0.584531,item-998,0.0,0.609683163620419
0,0.00090003,0.602762,item-1,,0.9949625029869232
0,0.00183046,0.519435,item-2,,0.946788289601648
0,0.00241566,0.73422,item-3,,1.0774973418564604
1,0.00255716,0.357847,item-4,,0.8696586612473126
0,0.00354946,0.90909,item-5,,1.2014637320243144
0,0.00574744,0.804348,item-6,,1.123556132393062
0,0.00593913,0.689691,item-7,,1.0453560808012068
0,0.00629783,0.0751743,item-8,,0.7955385429613272
0,0.00635004,0.480862,item-9,,0.9226644331678252
1,0.00736451,0.40563,item-10,,0.8856185137459258
0,0.00942659,0.801707,item-11,,1.1190884384993576
0,0.0102581,0.69826,item-12,,1.047702820462803
1,0.0103316,0.295608,item-13,,0.83928282872847
0,0.011506,0.0259697,item-14,,0.7877381296418008
0,0.0116241,0.543177,item-15,,0.951684568933222
1,0.0120126,0.352302,item-16,,0.8587734994782166
1,0.013842,0.132582,item-17,,0.7949238881083537
0,0.0152121,0.0261629,item-18,,0.7840372008081075
0,0.0175378,0.527014,item-19,,0.9377682329612911
1,0.017891,0.372972,item-20,,0.8619192331601044
0,0.0189327,0.0869353,item-21,,0.7840345431112155
0,0.019501,0.963281,item-22,,1.2324415757175682
1,0.0200887,0.229847,item-23,,0.8097472035725054
1,0.0206536,0.364899,item-24,,0.8560257538421157
1,0.0219018,0.289501,item-25,,0.826323950768367
0,0.0229808,0.48474,item-26,,0.9104376554546403
0,0.0234493,0.73275,item-27,,1.0610370605957138
1,0.0239344,0.374872,item-28,,0.8572556933200633
0,0.0248984,0.437679,item-29,,0.8850614357888171
0,0.025564,0.641973,item-30,,0.9996557828089638
1,0.026436,0.153355,item-31,,0.7860423645972285
1,0.0288874,0.208085,item-32,,0.795555743743556
0,0.0316627,0.576524,item-33,,0.9546228957582111
0,0.0318195,0.54579,item-34,,0.9365395702955388
0,0.0323533,0.0018208,item-35,,0.7667326414033202
0,0.0328127,0.571657,item-36,,0.9508090077970929
0,0.0328591,0.569243,item-37,,0.9493442886467546
0,0.0337098,0.100309,item-38,,0.7708072679490265
0,0.0360746,0.475829,item-39,,0.8946173661941527
0,0.0368234,0.784376,item-40,,1.0875000618364408
1,0.0383854,0.428619,item-41,,0.868874381286019
1,0.0426732,0.295536,item-42,,0.8089395428478834
0,0.0441679,0.915799,item-43,,1.1801130846471504
0,0.0442348,0.981219,item-44,,1.2310683700262315
0,0.0451503,0.811084,item-45,,1.1009895628681465
0,0.0454974,0.749293,item-46,,1.056557519320251
1,0.0455616,0.336639,item-47,,0.821760562169153
1,0.0481215,0.254314,item-48,,0.7900778202226363
