class,x,y,name,prediction
0,0.799276,0.213648,item-801,
1,0.800241,0.682166,item-802,
0,0.800499,0.371992,item-803,
1,0.8005,0.42575,item-804,
1,0.801041,0.937795,item-805,
0,0.804462,0.0109613,item-806,
0,0.804588,0.195132,item-807,
1,0.804727,0.906934,item-808,
0,0.805966,0.298014,item-809,
1,0.806026,0.447683,item-810,
0,0.806352,0.904428,item-811,
0,0.806651,0.0995735,item-812,
0,0.806716,0.267663,item-813,
0,0.809268,0.0584488,item-814,
0,0.81053,0.0121728,item-815,
0,0.811456,0.291323,item-816,
1,0.812132,0.576428,item-817,
0,0.81232,0.157776,item-818,
0,0.813059,0.884848,item-819,
0,0.813278,0.745591,item-820,
1,0.81376,0.475009,item-821,
0,0.814258,0.254027,item-822,
0,0.814872,0.873586,item-823,
1,0.816921,0.59942,item-824,
0,0.817491,0.150645,item-825,
1,0.817876,0.432884,item-826,
0,0.820098,0.832347,item-827,
1,0.820249,0.926537,item-828,
0,0.821128,0.377972,item-829,
1,0.822921,0.611417,item-830,
1,0.824538,0.693461,item-831,
0,0.828151,0.193484,item-832,
1,0.830389,0.941222,item-833,
0,0.830418,0.0959848,item-834,
1,0.832025,0.652103,item-835,
0,0.832425,0.337651,item-836,
1,0.832435,0.644003,item-837,
1,0.833394,0.590128,item-838,
1,0.835101,0.972474,item-839,
1,0.835404,0.94027,item-840,
1,0.836452,0.54233,item-841,
0,0.837934,0.422757,item-842,
1,0.840027,0.449015,item-843,
1,0.840861,0.682911,item-844,
0,0.842881,0.19318,item-845,
1,0.843047,0.555102,item-846,
0,0.844197,0.306539,item-847,
0,0.845279,0.349535,item-848,
1,0.845429,0.691947,item-849,
0,0.845684,0.196506,item-850,
0,0.846221,0.15764,item-851,
1,0.846539,0.682361,item-852,
1,0.847767,0.720969,item-853,
1,0.849359,0.594868,item-854,
1,0.849563,0.525005,item-855,
0,0.849912,0.16645,item-856,
0,0.850019,0.254251,item-857,
1,0.850878,0.535243,item-858,
0,0.854411,0.434397,item-859,
1,0.856353,0.662514,item-860,
0,0.856886,0.395959,item-861,
1,0.857001,0.52118,item-862,
0,0.857211,0.106725,item-863,
1,0.857351,0.747747,item-864,
0,0.85839,0.176484,item-865,
0,0.858398,0.830757,item-866,
0,0.858974,0.330686,item-867,
1,0.859789,0.749747,item-868,
1,0.862114,0.558745,item-869,
0,0.862743,0.0053829,item-870,
0,0.862767,0.0277292,item-871,
1,0.863303,0.616383,item-872,
1,0.864962,0.758718,item-873,
1,0.866857,0.705417,item-874,
1,0.868923,0.69936,item-875,
0,0.871059,0.35294,item-876,
0,0.875093,0.226478,item-877,
1,0.87561,0.607486,item-878,
0,0.879853,0.835117,item-879,
0,0.881815,0.00925112,item-880,
0,0.882739,0.788989,item-881,
0,0.883398,0.965515,item-882,
0,0.884552,0.253295,item-883,
0,0.886862,0.98643,item-884,
0,0.887475,0.200886,item-885,
0,0.889014,0.241068,item-886,
1,0.889351,0.788839,item-887,
0,0.892061,0.330548,item-888,
1,0.897224,0.998202,item-889,
0,0.897794,0.00417101,item-890,
0,0.897944,0.445547,item-891,
0,0.898477,0.144951,item-892,
1,0.90032,0.727085,item-893,
1,0.901241,0.743365,item-894,
0,0.901399,0.322293,item-895,
1,0.901884,0.695662,item-896,
1,0.903343,0.707323,item-897,
1,0.903364,0.72097,item-898,
0,0.903692,0.968843,item-899,
0,0.906476,0.140754,item-900,
0,0.907524,0.349414,item-901,
0,0.909116,0.438852,item-902,
0,0.912577,0.236256,item-903,
0,0.91416,0.0607717,item-904,
0,0.915894,0.0241671,item-905,
0,0.916317,0.380048,item-906,
0,0.916863,0.0256784,item-907,
1,0.918055,0.6796,item-908,
0,0.918306,0.172342,item-909,
1,0.918468,0.577763,item-910,
0,0.919432,0.211361,item-911,
0,0.921094,0.207251,item-912,
0,0.921731,0.0100056,item-913,
0,0.924865,0.841486,item-914,
1,0.925967,0.787419,item-915,
0,0.926513,0.237951,item-916,
0,0.926638,0.432529,item-917,
1,0.927055,0.787792,item-918,
0,0.929512,0.0185107,item-919,
0,0.9302,0.0996422,item-920,
1,0.93028,0.557513,item-921,
1,0.930286,0.540444,item-922,
1,0.931593,0.687533,item-923,
1,0.932377,0.63345,item-924,
1,0.932617,0.535545,item-925,
0,0.932677,0.311303,item-926,
1,0.935584,0.618984,item-927,
0,0.935949,0.30061,item-928,
0,0.936577,0.346115,item-929,
